"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08016","Physics 1A:  Foundations","82445f0c"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08035","Mathematics for Physics 1","82445f0c"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08036","Mathematics for Physics 2","82445f0c"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",3,3,"PHYS08016","Physics 1A:  Foundations","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",3,3,"PHYS08035","Mathematics for Physics 1","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Theoretical Physics",3,3,"PHYS08036","Mathematics for Physics 2","d32c8001"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",2,2,"PHYS08016","Physics 1A:  Foundations","cb8609d1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",2,2,"PHYS08035","Mathematics for Physics 1","cb8609d1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",2,2,"PHYS08036","Mathematics for Physics 2","cb8609d1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science and Mathematics",6,3,"PHYS08016","Physics 1A:  Foundations","d60c3aad"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,3,"PHYS08016","Physics 1A:  Foundations","2b9d7a9c"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,3,"PHYS08035","Mathematics for Physics 1","2b9d7a9c"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,3,"PHYS08036","Mathematics for Physics 2","2b9d7a9c"
