"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"F","Northern Ireland","United Kingdom","SEU","Scotland fee rate","Chemistry with Environmental and Sustainable Chemistry and Industrial Experience",2,1,"MATH08072","Mathematics for the Natural Sciences 1a","b46b9833"
"F","Northern Ireland","United Kingdom","SEU","Scotland fee rate","Chemistry with Environmental and Sustainable Chemistry and Industrial Experience",2,1,"MATH08073","Mathematics for the Natural Sciences 1b","b46b9833"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mechanical Engineering",1,1,"MATH08074","Engineering Mathematics 1a","5af11c79"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mechanical Engineering",1,1,"MATH08075","Engineering Mathematics 1b","5af11c79"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,5,"MATH11138","Geometry of General Relativity","25f74a76"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH10013","Mathematical Biology","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH10060","Numerical Ordinary Differential Equations and Applications","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH10098","Numerical Linear Algebra","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11127","Mathematics Dissertation","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11135","Functional Analysis","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11141","Multi-scale Methods in Mathematical Modelling","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11142","Modern Methods in Geometry and Topology","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11144","Topics in Ring and Representation Theory","7e21f0ff"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,5,"MATH11169","Quantum Information","7e21f0ff"
"F","England","Ireland","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10007","Stochastic Modelling","3207cf9f"
"F","England","Ireland","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","3207cf9f"
"F","England","Ireland","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10013","Mathematical Biology","3207cf9f"
"F","England","Ireland","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","3207cf9f"
"F","England","Ireland","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10086","Advanced Methods of Applied Mathematics","3207cf9f"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10003","Financial Mathematics","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10010","Mathematical Education","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10066","Honours Differential Equations","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10067","Honours Complex Variables","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10068","Honours Analysis","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10069","Honours Algebra","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10073","Linear Programming, Modelling and Solution","768e7053"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH10003","Financial Mathematics","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH10053","Applied Stochastic Differential Equations","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11147","Large Scale Optimization for Data Science","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11183","Topics in Applied Operational Research","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11192","Integer and Combinatorial Optimization","c522e5e1"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11193","Operational Research in the Energy Industry","c522e5e1"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10007","Stochastic Modelling","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10010","Mathematical Education","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10065","Fundamentals of Operational Research","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10073","Linear Programming, Modelling and Solution","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10079","Group Theory","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11111","Fundamentals of Optimization","9330a614"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11183","Topics in Applied Operational Research","9330a614"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10010","Mathematical Education","1de4d48b"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","1de4d48b"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10065","Fundamentals of Operational Research","1de4d48b"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10079","Group Theory","1de4d48b"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10082","Linear Analysis","1de4d48b"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11169","Quantum Information","1de4d48b"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10007","Stochastic Modelling","ea28c1fd"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10067","Honours Complex Variables","ea28c1fd"
