"Start","End","Duration","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AnonID"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"42aa3c27"
"","","",5,5,5,5,5,0,2.5,5,5,5,5,5,0,2,5,5,5,5,5,0,79.5,"698b8f16"
"","","",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,97,"5ec7dff8"
"","","",5,5,5,5,5,2,5,5,5,2.5,5,5,5,2,0,5,5,0,5,5,81.5,"b206ccc5"
"","","",5,5,0,5,5,2,5,5,5,5,5,5,2,1,0,5,5,0,5,5,75,"3b437f79"
"","","",5,5,5,4,5,0,5,5,5,2.5,5,5,2,5,5,5,5,5,5,5,88.5,"13d57d13"
"","","",5,5,5,5,5,0,5,0,5,2.5,5,1,5,2,1.25,5,5,5,5,0,71.75,"16c99b4d"
"","","",5,5,0,4,5,5,5,5,5,2.5,5,5,5,2,5,5,5,5,5,5,88.5,"df74b42e"
"","","",5,0,0,2.5,5,2,0,5,5,5,5,0,5,2,5,5,5,5,0,0,61.5,"ef2092cb"
"","","",5,5,5,3.5,5,5,5,5,5,2.5,2.5,5,5,4,5,5,5,5,5,5,92.5,"50ccd2bf"
"","","",5,5,0,2,5,2,5,0,0,0,2.5,5,5,2,5,5,5,5,5,0,63.5,"b92905ba"
"","","",5,5,0,4,0,0,0,5,5,2.5,5,1,5,2,5,5,5,5,0,0,59.5,"80e702a9"
"","","",5,5,0,0,5,2,5,0,5,5,0,0,3,0,0,5,5,5,5,0,55,"b42bb0"
"","","",5,0,0,4,0,2,0,5,5,5,1.25,5,2,0,5,5,5,5,0,0,54.25,"c9795f93"
"","","",5,5,0,2,5,0,0,5,0,0,5,5,0,0,5,5,5,5,0,0,52,"a4e11928"
"","","",5,0,5,3,0,5,2.5,0,0,0,5,5,0,0,5,5,5,0,0,0,45.5,"208561a9"
"","","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,"1491b237"
"","","",2.5,5,0,5,0,5,5,5,5,5,5,0,5,0,0,5,5,5,0,0,62.5,"3a332dad"
"","","",5,5,0,3,0,2,0,0,5,5,5,0,0,0,2.5,5,5,0,0,0,42.5,"e4790de5"
"","","",5,5,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,"9b18ef5c"
"","","",2.5,0,0,3.5,0,2,0,0,0,5,1.25,0,2,0,5,5,5,0,0,0,31.25,"db13494c"
"","","",2.5,5,0,5,5,5,2.5,5,5,5,5,5,5,2,2.5,0,5,5,0,0,69.5,"25257583"
"","","",5,5,5,5,5,2,5,0,5,2.5,2.5,5,5,2,2.5,5,5,0,0,0,66.5,"15ad8a9e"
"","","",2.5,0,5,5,5,0,0,0,0,2.5,5,0,0,0,0,0,0,0,0,0,25,"8ef180eb"
"","","",2.5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,"fa59f5fb"
"","","",5,5,5,4,0,0,5,0,5,5,5,5,5,5,0,5,5,5,5,5,79,"f721280c"
"","","",0,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,5,85,"61f53117"
"","","",5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0,85,"b211ae38"
"","","",5,5,5,4,0,0,5,0,5,2.5,0,5,5,1,5,5,5,0,5,5,67.5,"be7b7920"
"","","",5,5,0,3.5,5,0,0,0,0,0,5,0,0,0,0,5,5,5,0,0,38.5,"60afe140"
"","","",5,0,5,1,5,0,0,0,0,5,5,1,3,0,0,0,5,0,0,0,35,"ea0a5d5e"
"","","",5,5,0,2,0,0,5,0,5,5,2.5,0,5,4,5,5,5,5,0,0,58.5,"b9b8dc7e"
"","","",5,5,5,5,5,0,5,5,5,5,5,5,5,5,2.5,5,5,0,5,5,87.5,"162e8c2b"
"","","",0,0,0,3,5,2,0,5,0,0,2.5,5,2,0,3.75,0,0,0,0,0,28.25,"e72965bb"
"","","",5,5,5,3,5,2,5,0,5,5,1.25,5,5,2,5,5,5,5,0,0,73.25,"d78fc51d"
"","","",5,2.5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,17.5,"a1315642"
"","","",5,0,0,3,5,2,5,5,5,2.5,5,5,5,2,5,5,5,5,0,5,74.5,"c1b6572d"
"","","",2.5,5,5,0,5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,0,5,85,"cac389f2"
"","","",5,0,0,3,5,5,0,5,5,2.5,5,5,0,0,2.5,5,5,0,5,0,58,"73cf8b32"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"92fc1e28"
"","","",0,5,5,4,0,0,5,5,5,0,2.5,0,0,1,0,5,5,5,0,0,47.5,"57c990b3"
"","","",2.5,5,0,4,0,0,0,0,5,5,5,5,5,1,5,5,5,0,0,0,52.5,"bfaace76"
"","","",5,5,0,5,5,0,5,5,5,2.5,5,5,5,2,5,5,5,0,5,0,74.5,"a0ae154c"
"","","",5,5,5,2,5,0,5,0,5,5,0,5,5,0,5,0,5,0,0,0,57,"71c4597a"
"","","",2.5,5,5,5,5,5,5,5,5,0,2.5,5,5,2,5,5,5,5,5,0,82,"cf1933fc"
"","","",5,5,5,0,0,2,5,5,5,2.5,5,5,0,0,2.5,5,5,0,5,0,62,"1cea18d1"
"","","",5,5,0,3,5,0,0,5,5,0,1.25,5,2,2,5,5,5,5,5,0,63.25,"6ced8960"
"","","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97,"117178f"
"","","",2.5,2.5,5,1.5,0,2,5,5,5,0,5,5,5,5,5,5,5,5,5,0,73.5,"4129d700"
"","","",5,5,5,3,0,2,5,0,5,5,5,0,5,2,2.5,5,5,5,0,0,64.5,"6b15fa3c"
"","","",2.5,5,0,1,5,5,5,0,5,5,5,5,5,0,5,5,5,0,0,5,68.5,"89945269"
"","","",2.5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5,"e08d14ca"
"","","",5,5,0,4,5,5,0,0,5,0,5,1,2,0,5,5,5,0,0,0,52,"69f2cdca"
"","","",5,0,5,3.5,5,0,5,5,5,2.5,2.5,5,5,2,3.75,5,5,5,0,0,69.25,"71272826"
"","","",5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,99,"e74bbdef"
"","","",5,5,0,5,5,0,5,0,0,5,5,0,2,0,5,5,5,5,0,0,57,"61043651"
"","","",2.5,5,0,5,5,0,5,5,5,2.5,5,5,5,0,5,5,5,0,5,0,70,"c522e5e1"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c66d710d"
"","","",5,0,0,3.5,5,0,5,5,0,0,2.5,5,0,2,5,5,5,0,5,0,53,"b91c40e6"
"","","",5,5,0,3.5,5,0,5,5,5,0,2.5,5,0,0,5,5,5,5,0,0,61,"d6e1eca8"
"","","",5,5,5,3,0,0,0,5,5,0,5,5,2,2,5,5,5,5,0,0,62,"37c12be5"
"","","",5,5,0,2,5,5,0,5,5,5,5,5,0,5,3.75,5,5,0,5,0,70.75,"fba989f4"
"","","",5,5,0,4,5,0,0,5,5,0,2.5,5,5,0,5,5,5,5,0,0,61.5,"3b490a72"
"","","",5,2.5,0,0,0,0,5,5,0,0,0,5,0,0,0,0,0,0,0,0,22.5,"5cc6e048"
"","","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97,"82b590bb"
"","","",5,5,5,3,0,0,2.5,5,0,5,5,5,5,1,5,5,5,0,0,0,61.5,"e3eba051"
"","","",5,5,5,5,5,0,5,0,5,5,5,1,5,5,0,5,5,5,5,5,81,"7e8f5752"
"","","",5,5,5,3.5,5,2,0,5,5,2.5,5,5,5,5,5,5,5,0,0,5,78,"d63caa1f"
"","","",5,5,0,5,0,0,0,5,5,5,2.5,5,5,1,3.75,5,5,5,0,0,62.25,"292741c8"
"","","",5,2.5,0,4,5,2,0,5,5,2.5,5,5,2,2,5,5,5,5,0,0,65,"fe20d054"
"","","",5,0,5,5,5,2,5,0,0,5,2.5,0,0,0,2.5,5,5,5,0,5,57,"7484bd09"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f29927ab"
"","","",5,5,5,1,0,0,0,5,5,0,5,0,5,2,5,0,5,5,0,5,58,"44862b3"
"","","",5,5,5,3,5,0,5,5,5,5,1.25,5,5,5,0,5,5,5,5,5,84.25,"73e688b4"
"","","",5,5,5,5,5,0,5,0,5,5,2.5,5,5,0,5,5,5,0,5,0,72.5,"dfe02b4"
"","","",5,0,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0,87,"a79872f0"
"","","",5,5,0,5,0,2,0,5,5,5,5,1,5,2,0,5,5,0,0,0,55,"a04ede78"
"","","",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,97,"cd73a079"
"","","",5,0,0,4,5,0,5,5,5,0,2.5,5,5,2,3.75,5,5,5,0,0,62.25,"811da833"
"","","",0,5,5,5,5,0,0,0,5,5,5,0,5,5,5,5,5,0,0,0,60,"dbee15d3"
"","","",2.5,5,0,4,0,2,0,0,0,5,5,5,3,1,5,5,5,0,0,5,52.5,"8bf0e9b0"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e642ade7"
"","","",0,5,0,1,0,5,5,0,0,2.5,1.25,0,0,0,0,0,0,0,0,0,19.75,"9a4d8818"
"","","",2.5,5,5,5,5,5,5,5,5,0,5,5,2,2,5,5,5,0,5,0,76.5,"cd7411d6"
"","","",5,5,5,5,5,5,5,0,5,5,2.5,5,5,2,5,5,5,5,5,0,84.5,"6abb4cab"
"","","",5,5,5,0,5,0,2.5,0,5,5,5,5,5,0,0,5,5,5,5,0,67.5,"7471297b"
"","","",0,5,0,2.5,5,0,0,0,5,2.5,2.5,0,3,0,0,0,0,0,0,0,25.5,"900db991"
"","","",2.5,5,0,3,5,0,5,5,5,5,2.5,5,5,2,2.5,5,5,5,5,0,72.5,"526e7b3a"
"","","",5,5,5,5,5,0,5,0,5,5,5,5,2,2,5,0,5,5,0,0,69,"4b2e4541"
"","","",5,5,5,1.5,5,0,5,5,0,5,0,5,5,0,0,5,5,0,0,0,56.5,"465c6dd2"
"","","",5,5,0,5,5,0,0,0,5,5,5,5,5,2,5,5,5,0,5,5,72,"b69fa231"
"","","",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,0,5,92,"c6797f67"
"","","",0,5,0,5,0,0,0,5,5,0,5,5,5,2,5,5,5,5,0,0,57,"1334e70b"
"","","",5,5,0,5,5,2,5,5,5,5,2.5,5,2,0,5,5,5,5,0,5,76.5,"f527267c"
"","","",5,2.5,5,4,5,5,5,5,5,0,5,4,5,4,5,5,5,5,5,0,84.5,"c6540247"
"","","",5,0,0,5,5,0,5,5,5,0,5,5,2,0,5,5,5,5,0,0,62,"b0f7a51f"
"","","",5,5,5,3,5,0,0,0,5,5,5,5,5,2,0,5,5,5,0,0,65,"831e47aa"
"","","",0,5,0,3,5,2,0,5,5,5,5,5,0,5,5,5,5,0,5,0,65,"a948e2ee"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11569fa0"
"","","",5,5,0,5,5,0,0,5,5,5,5,5,5,3,5,5,5,5,5,0,78,"ecd322ac"
"","","",5,5,5,1,5,0,0,5,0,0,5,0,0,0,2.5,0,0,0,0,0,33.5,"bc5d2346"
"","","",5,5,0,3.5,5,5,5,5,5,2.5,5,5,5,0,0,5,5,5,0,0,71,"d565d34"
"","","",2.5,5,0,5,5,2,5,0,0,5,5,5,5,0,5,5,5,5,0,0,64.5,"c2d51ac3"
"","","",5,5,5,4,5,2,5,5,5,2.5,5,5,5,5,2.5,5,5,0,0,5,81,"4455b94c"
"","","",5,5,5,5,5,2,5,0,5,2.5,5,5,5,2,0,5,5,5,5,5,81.5,"1b05b272"
"","","",5,5,5,5,5,2,0,0,5,5,2.5,5,5,5,2.5,5,5,5,0,5,77,"611a20cd"
"","","",5,0,0,2.5,0,0,5,5,0,5,2.5,0,0,0,5,5,0,0,0,0,35,"4e0106c0"
"","","",5,5,5,5,5,2,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,94.5,"11980b2f"
"","","",5,5,0,0,0,0,5,0,0,0,0,5,5,0,3.75,5,5,0,0,0,38.75,"d87459c7"
"","","",5,5,5,2,5,0,2.5,5,5,2.5,5,5,5,2,0,5,5,0,5,5,74,"44dd912b"
"","","",5,5,0,4,5,0,0,5,5,0,5,5,5,5,5,5,5,5,0,0,69,"2637690"
"","","",2.5,0,0,3,5,0,0,0,5,0,5,0,2,2,5,5,5,5,0,0,44.5,"2ee6e240"
"","","",5,5,0,5,5,5,5,0,5,5,5,5,0,2,5,5,5,5,0,5,77,"69a9e6bb"
"","","",2.5,5,0,0,5,0,0,0,0,0,3.75,5,5,0,5,5,5,0,0,0,41.25,"386bcab4"
"","","",5,5,0,2.5,5,0,0,0,0,5,2.5,0,0,2,0,5,5,5,0,0,42,"585082ad"
"","","",5,5,5,3,5,2,5,5,5,0,1.25,0,2,5,0,5,5,5,0,0,63.25,"ee0aba42"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9b6047ae"
"","","",2.5,5,0,2,5,0,0,0,0,2.5,1.25,0,0,0,0,5,0,0,0,0,23.25,"3c2be930"
"","","",5,5,5,4,0,5,5,5,5,5,5,4,5,0,5,5,5,5,0,0,78,"ba5d2aa9"
"","","",5,5,5,5,5,2,0,5,5,5,5,5,5,2,5,5,5,5,0,5,84,"3aa3504b"
"","","",2.5,2.5,5,4,0,0,0,0,5,2.5,5,5,0,0,5,0,5,5,0,0,46.5,"2c56c8d1"
"","","",2.5,5,0,1,0,0,0,5,0,2.5,2.5,0,0,0,0,0,5,0,5,0,28.5,"e015770c"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1e0693f3"
"","","",5,5,0,3.5,5,0,5,5,5,0,5,5,2,2,5,5,5,5,0,0,67.5,"93fb4b81"
"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"dc46844b"
"","","",2.5,5,0,1,0,0,0,5,5,5,0,4,5,4,2.5,0,5,5,0,0,49,"2f5da80f"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"652c78b"
"","","",5,5,5,5,5,0,5,0,5,5,5,5,0,5,5,5,5,5,5,5,85,"d0a99c61"
"","","",5,5,5,5,5,2,5,0,5,5,2.5,5,0,1,0,5,5,0,0,0,60.5,"261595cf"
"","","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,90,"4c024ac7"
"","","",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"f4bd2705"
"","","",2.5,5,5,2,5,0,5,0,5,0,2.5,1,5,2,2.5,5,5,5,5,5,67.5,"969d4df7"
"","","",5,5,5,4,5,3,5,0,5,5,5,5,5,2,0,5,5,5,5,5,84,"25b30574"
"","","",5,5,5,4,5,5,5,0,5,5,5,5,0,5,3.75,5,5,5,0,0,77.75,"d51113a9"
"","","",0,0,0,2,0,0,0,0,5,5,2.5,0,0,0,0,0,5,0,0,0,19.5,"f9047af0"
"","","",5,5,0,4,5,0,5,0,5,0,2.5,5,5,2,3.75,5,5,5,5,5,72.25,"b7b1d7ef"
"","","",5,5,0,3.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,88.5,"82578ba6"
"","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ab133ff0"
