"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AnonID"
5,5,5,2,5,0,5,5,5,5,5,5,5,4,5,5,5,5,5,5,91,"5be2302c"
5,5,5,2,5,5,5,5,5,5,5,0,5,2,5,5,5,5,5,5,89,"98cda62"
5,5,0,5,0,5,0,5,0,5,5,5,2,1,5,5,5,0,0,5,63,"5e64376"
2.5,5,0,5,5,2,2.5,5,5,0,2.5,5,5,2,3.75,5,5,5,0,5,70.25,"3445c5ce"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a97f95a8"
5,5,0,2.5,5,0,0,5,5,2.5,5,5,5,0,5,5,5,0,0,0,60,"4ed71e90"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4d9a2f34"
5,0,5,2,5,2,5,0,5,5,0,5,5,2,5,5,5,5,5,0,71,"1b5e2da0"
5,5,0,1,5,0,0,5,5,0,5,5,5,2,0,5,5,0,0,0,53,"9ba60362"
5,5,5,3.5,0,2,5,5,5,5,5,5,5,5,5,5,5,5,5,0,85.5,"1d543cb9"
5,0,0,2,5,2,0,5,0,0,5,5,0,0,5,0,0,5,0,0,39,"c43dea68"
0,5,0,2,5,2,0,0,5,0,1.25,0,2,0,0,5,5,5,0,0,37.25,"52529359"
5,5,5,5,5,0,5,5,5,2.5,5,5,5,5,5,5,5,5,0,5,87.5,"5bfdf7f3"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a5a756fb"
5,5,5,4,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,93,"75b3954b"
5,5,0,4.5,5,0,5,5,5,2.5,2.5,5,5,2,2.5,5,5,5,5,5,79,"c70396b"
5,5,5,4.5,5,2,5,0,5,5,3.75,5,2,2,0,5,5,5,5,5,79.25,"9e8e0be3"
5,5,5,4,5,0,5,0,5,2.5,5,5,5,2,5,0,0,5,0,0,63.5,"67c9f36a"
5,5,5,5,5,0,2.5,0,5,2.5,5,0,2,5,5,5,5,5,5,0,72,"cc98bc51"
5,5,0,2,5,2,0,0,5,2.5,5,5,2,2,5,5,5,0,0,0,55.5,"43c783aa"
5,5,5,4,5,0,2.5,5,5,2.5,1.25,5,5,0,5,5,5,5,0,0,70.25,"80ccc63b"
5,5,0,5,0,0,0,0,5,5,2.5,5,5,5,5,5,5,5,0,0,62.5,"2dc2d538"
0,5,0,0,5,0,0,5,5,2.5,2.5,0,0,0,0,0,0,0,0,0,25,"425f3f07"
5,2.5,5,2,5,0,5,0,5,2.5,5,4,5,5,0,5,5,5,5,0,71,"7dec1ef"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"a5f73450"
2.5,5,5,3,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,19.5,"db13494c"
2.5,0,5,2,0,0,0,0,0,0,5,0,5,0,3.75,5,0,5,0,0,33.25,"ced7b9da"
5,5,5,4.5,5,0,5,5,0,5,2.5,5,5,5,3.75,5,5,5,5,5,85.75,"cee2b28a"
2.5,5,5,5,5,0,2.5,0,5,0,5,1,0,0,5,0,5,0,0,0,46,"79ff76a9"
2.5,5,0,4,5,0,2.5,5,0,5,1.25,0,0,2,5,0,5,0,0,0,42.25,"fa59f5fb"
5,5,5,5,5,0,2.5,5,5,5,5,0,0,0,0,0,0,0,0,0,47.5,"319006b0"
2.5,5,0,3,0,5,0,0,5,0,5,5,5,5,0,5,5,0,0,0,50.5,"3cf2242f"
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,99,"e3dd50c4"
5,5,5,5,5,0,5,0,5,2.5,2.5,4,5,5,5,0,5,0,0,5,69,"101d4de6"
5,5,0,2.5,5,0,0,0,5,2.5,2.5,5,5,2,1.25,5,5,5,5,0,60.75,"e5b07860"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"be58bb0e"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,95,"486bc6fa"
2.5,5,5,5,5,2,5,0,5,0,5,5,2,2,5,5,5,5,5,5,78.5,"2bf052e4"
5,5,5,3,5,0,5,0,5,5,2.5,5,5,5,2.5,5,5,0,5,5,78,"aa98abca"
5,5,5,5,5,0,5,0,5,2.5,5,5,0,5,0,5,0,5,5,0,67.5,"51b23f65"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61e9d453"
5,5,5,0,5,0,0,0,5,5,5,5,5,5,0,5,5,5,0,0,65,"42508814"
2.5,5,5,2.5,5,0,0,5,5,0,2.5,1,2,2,5,5,5,0,5,0,57.5,"7ed5ad60"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"bd2cda11"
5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,"48006acf"
