"AnonID","Q1","Q3","N3","Q5","Q6","Q7","N7","Q9","Q10","N10","N11","N12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AAC","APPS","CAP","ILA","MfP1","PPS","SVCDE","AAC.Grade","APPS.Grade","CAP.Grade","ILA.Grade","MfP1.Grade","PPS.Grade","SVCDE.Grade","School","Gender","Region","ILA.bin","PPS.MfP1","CAP.MfP1","ILA.MfP1","Y1Fs","Y2Fs","CAP.bin","PPS.bin","ILA.grade","Qual","Category","F1","SE_F1","Y1Fs.bin"
"100ba75b",5,5,5,0,2,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.439246071240253,0.404848004109797,NA
"102dddad",5,5,3.75,0,0,5,0,5,5,2.5,5,5,5,2,3.75,5,5,5,5,5,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.290084563418082,0.393041256783374,NA
"103fb32b",5,5,3.75,0,0,5,5,5,5,2.5,2,5,5,5,5,5,5,0,5,5,78.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.411034085013023,0.402438932973497,NA
"10c74063",5,5,5,5,2,5,5,5,5,3.75,5,5,5,5,2.5,5,5,5,5,5,93.25,NA,NA,84,94,NA,NA,NA,NA,NA,"A","A",NA,NA,NA,3,"F",4,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","SQA","Cat3",1.33314319259631,0.522540205478305,NA
"10f4abb0",5,5,5,5,0,5,5,5,0,3.75,2,5,5,5,2.5,5,5,5,5,5,83.25,NA,NA,74,73,57,52,NA,NA,NA,"A","A","C","C",NA,3,"M",1,"Pass","Yes","Yes","Yes",0,NA,"Pass","Pass","AB","IB","Cat3",0.700410875172467,0.431228305374508,"0-1"
"11137b21",5,0,5,5,2,0,0,5,0,1.25,2,1,5,0,0,5,5,0,5,0,46.25,NA,NA,63,64,NA,51,NA,NA,NA,"B","B",NA,"C",NA,1,"F",4,"Pass","No","No","No",0,NA,"Pass","Pass","AB","SQA","Cat3",-0.973375493587966,0.353685082111918,"0-1"
"11630390",5,0,5,5,0,5,5,5,5,0,0,4,2,2,2.5,5,0,5,5,0,60.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.634556706595141,0.357132667507211,NA
"1171a375",5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,95,63,71,NA,NA,NA,NA,72,"B","A",NA,NA,NA,NA,"A",1,"F",3,NA,NA,NA,NA,NA,0,NA,NA,NA,"Unknown","Unknown",1.61932519212567,0.571518178219011,NA
"11c7a465",5,5,5,5,2,5,0,5,2.5,5,2,5,5,2,0,5,5,5,5,5,78.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.53948941478745,0.414096564507753,NA
"11efd53e",2.5,5,5,5,0,5,0,0,5,1.25,5,5,5,2,5,5,5,0,0,0,60.75,NA,NA,21,47,NA,NA,NA,NA,NA,"F","D",NA,NA,NA,3,"M",4,"Fail",NA,"No","No",NA,NA,"Fail",NA,"CD","SQA","Cat1",-0.409132657208092,0.361757400691318,NA
