Question,a_est,a_CI_2.5,a_CI_97.5,b_est,b_CI_2.5,b_CI_97.5,pre,post,description,notes,outcome
A1_B1,1.1074474827284215,0.962453594449414,1.252441371007429,-3.3945172279582905,-3.7437256623660398,-3.045308793550541,A1,B1,linear function,NA,unchanged
A2_B0,0.6008348565598471,0.5104951044404388,0.6911746086792555,1.4461866525128713,1.2228583410437555,1.669514963981987,A2,NA,3D,NA,removed
A3_B2,1.3132056171545199,1.2374595446711563,1.3889516896378835,-0.7087591583964273,-0.7577960567001203,-0.6597222600927344,A3,B2,arithmetic rules,NA,unchanged
A4_B3,1.2551908461188837,1.1830963707220652,1.327285321515702,-0.5854510753633976,-0.6330650880467847,-0.5378370626800104,A4,B3,Easy ineq.,NA,unchanged
A5_B4,1.036176585844393,0.9609829406994422,1.1113702309893436,-0.613524961029307,-0.6830915423270514,-0.5439583797315626,A5,B4,logs,NA,unchanged
A6_B5,0.9551823036570187,0.863257390263871,1.0471072170501663,-2.2803056462964855,-2.472759718508366,-2.087851574084605,A6,B5,logs,NA,unchanged
A7_B6,1.4258294277596568,1.3441365475163056,1.507522308003008,-0.841917514816652,-0.8911777780188579,-0.7926572516144461,A7,B6,graph translation,NA,unchanged
A8_B7,1.0149191769162311,0.9485655335485526,1.0812728202839097,-0.5383416695947841,-0.5966444322671921,-0.4800389069223762,A8,B7,sine pi/3,NA,unchanged
A9_B8,1.634096184930328,1.5308661167033866,1.7373262531572693,-0.3426301432071415,-0.3891951126823819,-0.29606517373190117,A9,B8,trig.ineq.,NA,unchanged
A10_B9,1.4066752610099764,1.31669846092747,1.496652061092483,-0.6894998517447943,-0.744904590581387,-0.6340951129082016,A10,B9,trig.identity,NA,unchanged
A11_B10,1.3028259242115743,1.220044793111705,1.3856070553114435,-0.7406394956139923,-0.7978864878021434,-0.6833925034258412,A11,B10,period,NA,unchanged
A12_B0,0.7825124099109829,0.6724626299416049,0.892562189880361,-1.7228005902466819,-1.9542659473475397,-1.491335233145824,A12,NA,rational exponents,adjusted to B11,removed
A13_B0,0.7680429724380142,0.6720759193803131,0.8640100254957154,0.5682406161727386,0.45326694297495584,0.6832142893705213,A13,NA,ellipsoid,NA,removed
A14_B12,1.3588781205311797,1.2791863415829992,1.4385698994793603,-0.49991870023550733,-0.5466026716882774,-0.4532347287827373,A14,B12,limit,NA,unchanged
A15_B13,0.9763030246101878,0.9128450370320488,1.039761012188327,-0.19560918893161763,-0.24857915332495922,-0.14263922453827604,A15,B13,series,NA,unchanged
A16_B14,1.2496294868270363,1.1673490753050193,1.3319098983490534,1.2007939698987073,1.1301368590954477,1.271451080701967,A16,B14,diff.quotient,NA,unchanged
A17_B15,1.2048323836976849,1.1331191175977358,1.276545649797634,-0.5537611473514782,-0.6038468174678229,-0.5036754772351335,A17,B15,graph f',NA,unchanged
A18_B16,0.8730484019543588,0.8087220765160208,0.9373747273926969,0.6042085940260393,0.5365667943701752,0.6718503936819035,A18,B16,product rule,NA,unchanged
A19_B0,1.0738048593985006,0.9514993090748216,1.1961104097221795,0.15854859295890647,0.07180996517468433,0.24528722074312861,A19,NA,quotient rule,NA,removed
A20_B17,1.8067467889517828,1.6993046918628563,1.9141888860407092,-0.9562452950543324,-1.0035207863195323,-0.9089698037891326,A20,B17,(exp)',NA,unchanged
A21_B18,1.6367538912245059,1.5401513916644907,1.733356390784521,-0.4165701768553644,-0.45974340646864315,-0.37339694724208566,A21,B18,(ln(sin))',NA,unchanged
A22_B19,1.6347066984774146,1.5353847414560682,1.734028655498761,-0.5141122738263297,-0.5601183907563153,-0.4681061568963442,A22,B19,hyp.functions,NA,unchanged
A23_B20,1.4260567727016056,1.339242606341734,1.5128709390614772,-0.018637274109632753,-0.06211675939794882,0.024842211178683318,A23,B20,slope tangent,NA,unchanged
A24_B21,1.2280715404982478,1.150013192117107,1.3061298888793886,-0.713712335546893,-0.7712171062376684,-0.6562075648561175,A24,B21,IVT,NA,unchanged
A25_B0,0.4422234338515366,0.3576760270188548,0.5267708406842184,-1.5627548440521193,-1.889732466747655,-1.2357772213565836,A25,NA,velocity,NA,removed
A26_B22,1.629792885796733,1.4847319108674224,1.7748538607260436,-2.000139568153781,-2.123471277039386,-1.8768078592681756,A26,B22,int(poly),NA,unchanged
A27_B23,1.3652882199814458,1.2774299003457563,1.4531465396171352,-0.10336705901465312,-0.15102799362699146,-0.055706124402314795,A27,B23,int(exp),NA,unchanged
A28_B24,1.2919986281199747,1.2047581134927796,1.3792391427471697,-0.33759709895660006,-0.3920495832031045,-0.2831446147100956,A28,B24,Int = 0,NA,unchanged
A29_B25,0.3219963436659162,0.2692550872600957,0.3747376000717366,-1.3829598586580205,-1.6614862797258576,-1.1044334375901834,A29,B25,int even funct,NA,unchanged
A30_B0,1.1647739122866354,1.0288852023762205,1.3006626221970503,-1.4516027592913616,-1.5978330599312096,-1.3053724586515136,A30,NA,FtoC graph,adjusted to B26,removed
A31_B27,1.13777703122913,1.0691841733347325,1.2063698891235275,0.31961433603001277,0.27150301622402984,0.3677256558359957,A31,B27,int(abs),NA,unchanged
A32_B28,1.1751067559166632,1.093526953781847,1.2566865580514794,1.1915388173391186,1.1198511006561254,1.2632265340221118,A32,B28,FtoC algebra,NA,unchanged
A33_B29,0.9302952931513935,0.8598592242311505,1.0007313620716365,-1.6203871478251688,-1.7312805437019423,-1.5094937519483953,A33,B29,difference vectors,NA,unchanged
A34_B0,0.6030432676289896,0.482450000477167,0.7236365347808122,-2.5603577001128186,-3.0615163859660326,-2.0591990142596046,A34,NA,normal vector,adjusted to B30,removed
A35_B0,0.9848314565531788,0.8468778353227057,1.1227850777836519,-0.47892631486855747,-0.6125532073537198,-0.34529942238339517,A35,NA,intersect planes,NA,removed
A36_B0,0.9273215168104239,0.8021187327847468,1.052524300836101,0.6456223286933622,0.5250690595279678,0.7661755978587567,A36,NA,parallel planes,NA,removed
A0_B11,0.7443751074555794,0.6744242214243856,0.8143259934867733,-0.7207949303772095,-0.8151089804939626,-0.6264808802604565,NA,B11,rational exponents,updated version of A12,added
A0_B26,0.9369301953783131,0.8577021727325892,1.0161582180240372,-0.5269030960306277,-0.6025489510719758,-0.45125724098927955,NA,B26,FtoC graph,updated version of A30,added
A0_B30,0.5151011399529993,0.43642323785998305,0.5937790420460156,-2.413599490207766,-2.778685588273535,-2.048513392141997,NA,B30,normal vector,updated version of A34,added
A0_B31,0.7472060394680228,0.6696087749914529,0.8248033039445927,-0.05743400411384951,-0.1450779626246579,0.030209954396958894,NA,B31,vector product,NA,added
A0_B32,1.2256308844907826,1.107123114277036,1.3441386547045293,0.14750181626044226,0.07110648367313847,0.22389714884774603,NA,B32,scalar product,NA,added
