pre,post,description,notes
A1,B1,linear function,
A2,,3D,
A3,B2,arithmetic rules,
A4,B3,Easy ineq.,
A5,B4,logs,
A6,B5,logs,
A7,B6,graph translation,
A8,B7,sine pi/3,
A9,B8,trig.ineq.,
A10,B9,trig.identity,
A11,B10,period,
A12,,rational exponents,adjusted to B11
A13,,ellipsoid,
A14,B12,limit,
A15,B13,series,
A16,B14,diff.quotient,
A17,B15,graph f',
A18,B16,product rule,
A19,,quotient rule,
A20,B17,(exp)',
A21,B18,(ln(sin))',
A22,B19,hyp.functions,
A23,B20,slope tangent,
A24,B21,IVT,
A25,,velocity,
A26,B22,int(poly),
A27,B23,int(exp),
A28,B24,Int = 0,
A29,B25,int even funct,
A31,B27,int(abs),
A32,B28,FtoC algebra,
A33,B29,difference vectors,
A35,,intersect planes,
A36,,parallel planes,
A30,,FtoC graph,adjusted to B26
A34,,normal vector,adjusted to B30
,B11,rational exponents,updated version of A12
,B31,vector product,
,B32,scalar product,
,B26,FtoC graph,updated version of A30
,B30,normal vector,updated version of A34
