"AnonID","X","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total"
"Sb428c55c","Total points",5,5,5,5,100,,,,,,,,,,,,,,,,
"S4964eb1a","",5,5,5,5,5,0,5,5,5,5,5,5,5,2,2.5,5,5,5,0,5,84.5
"S051fb997","",5,2.5,5,3,5,0,5,5,5,2.5,2.5,5,2,5,2.5,5,5,5,5,0,75
"S7c788102","",,,,,,,,,,,,,,,,,,,,,
"S874e110f","",5,0,5,3,5,0,5,5,5,5,5,0,5,5,5,5,5,5,5,5,83
"S62c1d94b","",5,5,5,5,0,5,5,0,5,5,5,5,5,2,5,5,5,5,5,5,87
"S43b7a84f","",5,5,0,5,5,0,5,5,5,2.5,5,5,5,2,5,5,5,5,0,0,74.5
"S5aede3ec","",5,5,5,4,5,5,5,5,5,2.5,1.25,5,0,5,5,5,5,5,5,5,87.75
"Sd9910b64","",5,5,5,5,5,5,5,5,5,2.5,5,5,5,2,0,5,5,5,5,5,89.5
"S16f8b0d1","",,,,,,,,,,,,,,,,,,,,,
"Sa73093fa","",5,5,0,5,5,0,5,5,5,5,5,5,5,2,0,5,5,5,0,0,72
"S112afdbe","",5,5,5,5,0,0,5,0,5,2.5,5,1,5,5,5,5,5,5,0,5,73.5
"Sb7da3128","",,,,,,,,,,,,,,,,,,,,,
"Sa5336f61","",,,,,,,,,,,,,,,,,,,,,
"Sfefb6bb9","",5,0,5,3.5,5,2,5,0,5,2.5,2.5,5,2,2,3.75,5,5,5,0,5,68.25
"Sef5c1914","",,,,,,,,,,,,,,,,,,,,,
"Sb5a130fb","",,,,,,,,,,,,,,,,,,,,,
"Se90350c8","",,,,,,,,,,,,,,,,,,,,,
"Sacb10456","",5,0,5,5,5,5,5,5,5,2.5,2.5,5,2,4,5,5,5,5,5,5,86
"Sc432ca72","",2.5,5,0,3,5,2,5,5,5,2.5,5,1,5,0,5,5,5,5,0,0,66
"S392f086c","",5,5,5,5,5,2,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,94.5
"S2b52eb4b","",,,,,,,,,,,,,,,,,,,,,
"Sc2ef6772","",,,,,,,,,,,,,,,,,,,,,
"Sd500715f","",5,5,5,5,5,5,5,5,5,2.5,5,5,5,2,5,5,5,5,0,5,89.5
"S90ba2416","",,,,,,,,,,,,,,,,,,,,,
"S347f0b32","",5,5,0,5,5,2,5,5,5,5,5,5,2,0,5,5,0,5,0,0,69
"S55cd85c4","",5,0,5,3,5,2,0,5,5,0,1.25,5,5,5,5,5,5,5,5,0,71.25
"S264532e8","",2.5,5,0,0,5,0,0,5,5,0,2.5,0,0,2,5,0,5,0,0,0,37
"S0ea1442b","",5,2.5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95.5
"S06bf042b","",,,,,,,,,,,,,,,,,,,,,
"Sfd3b466a","",,,,,,,,,,,,,,,,,,,,,
"S3cb82011","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97
"S313cc6fe","",,,,,,,,,,,,,,,,,,,,,
"S2f3d6b2a","",2.5,5,5,5,5,0,0,5,5,5,2.5,5,5,2,5,5,5,5,0,0,72
"S24128cb0","",2.5,5,0,3.5,5,0,5,5,5,2.5,0,1,5,2,0,0,0,0,0,0,41.5
"S44381154","",5,5,0,3.5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,87.5
"S9ba4cc57","",,,,,,,,,,,,,,,,,,,,,
"S57946aa1","",,,,,,,,,,,,,,,,,,,,,
"Sa0a747c6","",,,,,,,,,,,,,,,,,,,,,
"Sc6dbd231","",,,,,,,,,,,,,,,,,,,,,
"S4097ae7a","",,,,,,,,,,,,,,,,,,,,,
"S723d2147","",5,5,5,5,0,2,5,5,5,5,5,5,3,5,5,5,5,5,5,0,85
"S6adafd8d","",,,,,,,,,,,,,,,,,,,,,
"S8b9efeb4","",2.5,5,5,4.5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,0,89
"S210cf8ad","",,,,,,,,,,,,,,,,,,,,,
"S5ac111c2","",,,,,,,,,,,,,,,,,,,,,
"Sf81054d7","",5,5,0,4,0,0,0,0,5,0,2.5,5,0,0,5,5,5,5,0,0,46.5
"S52d8d3e0","",5,5,0,1,5,2,5,5,5,5,2.5,5,5,0,5,0,5,5,5,0,70.5
"Sc4dd8a8e","",,,,,,,,,,,,,,,,,,,,,
"S07b69ca3","",5,5,0,4,5,0,5,5,5,0,5,5,2,0,0,5,5,0,0,0,56
"S6f4a6324","",5,5,5,5,5,5,0,5,5,0,5,5,5,4,5,5,5,0,5,5,84
"Sf43dd4ce","",5,5,0,3,5,0,5,5,5,5,5,5,0,0,5,5,5,5,0,0,68
"Sbdc903fb","",5,5,5,3.5,5,0,5,5,5,5,0,5,5,2,2.5,5,0,5,0,5,73
"Sd0cb6365","",5,0,5,3.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5
"S5c6a10b7","",5,5,5,5,0,0,5,5,5,5,5,5,2,5,0,5,0,5,5,5,77
"S7f21b720","",5,5,5,5,5,5,5,5,0,5,2.5,5,5,5,5,5,5,5,5,5,92.5
"Sd7538d1d","",2.5,5,0,3,0,0,0,5,5,0,5,0,0,0,0,0,5,0,0,0,30.5
"Sfca82e4a","",,,,,,,,,,,,,,,,,,,,,
"S2c2ed612","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,95
"Sabfb7778","",2.5,2.5,0,5,5,0,5,5,5,2.5,5,5,2,2,5,5,5,5,5,0,71.5
"Sf2956cd0","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S5ac112ae","",,,,,,,,,,,,,,,,,,,,,
"S533cee1c","",5,5,0,2.5,5,5,5,0,5,2.5,2.5,5,5,0,5,5,5,0,0,5,67.5
"Sa1324bfa","",,,,,,,,,,,,,,,,,,,,,
"S56d6abfb","",2.5,5,5,4,5,0,0,5,5,2.5,2.5,5,5,0,5,5,5,5,0,0,66.5
"S5051b323","",0,0,0,0,5,3,5,0,0,5,5,5,5,2,5,5,0,0,5,0,50
"S1a2703ea","",5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95
"Seb547c40","",5,5,5,5,5,2,5,5,5,2.5,5,5,2,5,5,5,5,0,0,5,81.5
"S6eeded5e","",,,,,,,,,,,,,,,,,,,,,
"S3bcee680","",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,0,5,92
"S3c622e40","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S27f00270","",,,,,,,,,,,,,,,,,,,,,
"S210029b0","",5,5,5,5,5,2,5,0,0,5,1.25,5,5,5,5,5,5,5,5,5,83.25
"Sfea812e9","",5,5,0,2,5,2,5,5,5,2.5,5,5,5,5,2.5,5,5,5,0,5,79
"S8eb6560e","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,0,5,5,92
"Saf85a1ce","",5,5,5,5,5,0,5,0,0,2.5,2.5,5,5,2,0,5,5,0,5,0,62
"S74d942a9","",5,5,5,4,5,2,5,5,5,5,2.5,5,5,2,5,5,5,5,5,0,85.5
"Sf8c3dbab","",5,2.5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,0,79.5
"S2cab6f99","",5,5,0,4,5,2,5,0,5,2.5,5,5,5,2,0,5,5,0,5,5,70.5
"Sf2e60245","",5,5,0,5,5,0,5,5,5,2.5,5,5,5,2,3.75,5,5,5,0,0,73.25
"S0d3e2a36","",2.5,5,5,5,5,5,5,5,5,5,5,5,2,1,5,5,5,5,5,0,85.5
