"State","Started.on","Completed","Time.taken","Grade.100.00","Q..1..5.00","Q..2..5.00","Q..3..5.00","Q..4..5.00","Q..5..5.00","Q..6..5.00","Q..7..5.00","Q..8..5.00","Q..9..5.00","Q..10..5.00","Q..11..5.00","Q..12..5.00","Q..13..5.00","Q..14..5.00","Q..15..5.00","Q..16..5.00","Q..17..5.00","Q..18..5.00","Q..19..5.00","Q..20..5.00","AnonID"
"Finished","17 August 2018  2:02 PM","17 August 2018  3:20 PM","1 hour 18 mins",90.75,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","3.75","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","bd465067"
"Finished","17 August 2018  2:05 PM","17 August 2018  3:11 PM","1 hour 6 mins",88.13,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.13","5.00","5.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","5.00","501de1bd"
"Finished","17 August 2018  3:30 PM","17 August 2018  5:00 PM","1 hour 30 mins",83.75,"5.00","5.00","5.00","-","0.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","87fd6747"
"Finished","17 August 2018  4:15 PM","17 August 2018  5:45 PM","1 hour 30 mins",81.5,"2.50","5.00","3.75","5.00","2.00","5.00","5.00","5.00","5.00","1.25","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00","c0d3d77f"
"Finished","18 August 2018  10:57 AM","18 August 2018  12:02 PM","1 hour 4 mins",93.38,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","d9307f31"
"Finished","18 August 2018  3:03 PM","18 August 2018  4:33 PM","1 hour 30 mins",79.88,"5.00","5.00","5.00","5.00","0.00","5.00","-","5.00","5.00","1.88","2.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","5.00","e7e7fc9b"
"Finished","18 August 2018  3:31 PM","18 August 2018  5:00 PM","1 hour 29 mins",79,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","-","0.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00","165b56d0"
"Finished","18 August 2018  7:24 PM","18 August 2018  8:54 PM","1 hour 30 mins",77,"5.00","5.00","3.75","0.00","2.00","5.00","5.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","0.00","5.00","bc95da8a"
"Finished","18 August 2018  9:47 PM","18 August 2018  11:16 PM","1 hour 29 mins",54,"5.00","0.00","5.00","5.00","2.00","-","-","5.00","-","0.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00","0.00","e1df577d"
"Finished","19 August 2018  8:55 AM","19 August 2018  10:25 AM","1 hour 30 mins",83.38,"2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","1.88","5.00","0.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","e1d73c3c"
"Finished","19 August 2018  10:09 AM","19 August 2018  11:39 AM","1 hour 30 mins",66,"5.00","0.00","5.00","5.00","-","0.00","0.00","5.00","5.00","5.00","2.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00","25bd4d7a"
"Finished","20 August 2018  12:13 AM","20 August 2018  1:43 AM","1 hour 30 mins",59.5,"5.00","5.00","2.50","0.00","-","5.00","0.00","5.00","0.00","5.00","5.00","5.00","2.00","0.00","-","5.00","5.00","5.00","0.00","5.00","3352bdda"
"Finished","20 August 2018  12:28 AM","20 August 2018  1:26 AM","58 mins 7 secs",95,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","018b1fdc"
"Finished","20 August 2018  10:25 AM","20 August 2018  11:42 AM","1 hour 16 mins",84,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","0.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","08aa7df1"
"Finished","20 August 2018  11:13 AM","20 August 2018  12:43 PM","1 hour 30 mins",59.25,"5.00","5.00","5.00","0.00","2.00","5.00","0.00","5.00","-","0.00","2.00","5.00","2.00","2.00","1.25","5.00","5.00","5.00","-","5.00","5569472e"
"Finished","20 August 2018  9:54 PM","20 August 2018  11:23 PM","1 hour 29 mins",49.75,"2.50","-","1.25","0.00","-","5.00","-","5.00","0.00","-","2.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","-","5.00","7b55c302"
"Finished","21 August 2018  1:19 AM","21 August 2018  2:37 AM","1 hour 18 mins",95,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","d3004154"
"Finished","21 August 2018  2:01 AM","21 August 2018  2:27 AM","26 mins 35 secs",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","772aa6ce"
"Finished","21 August 2018  11:41 AM","21 August 2018  12:43 PM","1 hour 2 mins",77.88,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","1.88","5.00","4.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","0.00","26a907e9"
"Finished","21 August 2018  11:53 AM","21 August 2018  1:12 PM","1 hour 18 mins",81.38,"5.00","5.00","5.00","5.00","2.00","0.00","0.00","5.00","5.00","4.38","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","9a55ca96"
"Finished","21 August 2018  12:27 PM","21 August 2018  1:46 PM","1 hour 19 mins",46.75,"5.00","5.00","2.50","5.00","-","0.00","0.00","0.00","2.50","1.25","1.00","0.00","5.00","2.00","2.50","5.00","5.00","5.00","0.00","0.00","daab2c05"
