Question,par,est,CI_2.5,CI_97.5
A1,a,0.815636708851702,0.7345737426925947,0.8966996750108094
A1,b1,-1.583333550752088,-1.7824851998292954,-1.3841819016748806
A1,b2,-2.177568118526761,-2.4154841817314048,-1.9396520553221168
A2,a,0.6538900636957338,0.5869577144855029,0.7208224129059646
A2,b1,1.1584912560416754,0.7887322377101068,1.528250274373244
A2,b2,-4.6695571184110305,-5.205771139187167,-4.133343097634894
A3,a,1.2739814211644374,1.1518004214243098,1.3961624209045649
A3,b1,-0.5471743774224807,-0.6277130865625277,-0.46663566828243364
A4,a,0.6941848501603334,0.6372106327320719,0.7511590675885949
A4,b1,-0.6784673678664502,-0.9752553500336083,-0.3816793856992921
A4,b2,-1.7068513424476763,-1.985249728553839,-1.4284529563415136
A4,b3,-1.086702195830651,-1.2922082501466148,-0.8811961415146874
A4,b4,-0.18097329942777307,-0.3485832956542796,-0.01336330320126658
A4,b5,-0.858044264000208,-1.031563792388424,-0.6845247356119919
A5,a,1.4809983945400826,1.3390241756945909,1.6229726133855744
A5,b1,-1.2021123168993386,-1.3076577155391282,-1.096566918259549
A6,a,0.5876868432106576,0.5293083250738104,0.6460653613475047
A6,b1,0.7882934254606837,0.6212805326615927,0.9553063182597747
A6,b2,6.822795357540001,5.862284662559417,7.783306052520586
A6,b3,-5.183595184666556,-6.127433788641906,-4.239756580691206
A7,a,0.9173956345977949,0.8345145355636766,1.0002767336319132
A7,b1,1.3950176399123992,1.1397091283642031,1.6503261514605954
A7,b2,-2.687493040334855,-2.993201495394366,-2.381784585275344
A8,a,0.918415124625092,0.8183046328805972,1.0185256163695868
A8,b1,-0.5224815944452067,-0.6217317547325006,-0.42323143415791276
A9,a,2.1527452679745944,1.945730278308876,2.359760257640313
A9,b1,-1.170033794784385,-1.257416305545055,-1.0826512840237152
A10,a,0.9139800819722578,0.8332511100672376,0.9947090538772779
A10,b1,-0.4114931506196027,-0.5272238402180736,-0.2957624610211318
A10,b2,-0.602645514186464,-0.7261133031767362,-0.4791777251961917
A11,a,0.5538372979847276,0.5051023337599863,0.6025722622094689
A11,b1,0.11128903744977861,-0.2754436404147278,0.4980217153142851
A11,b2,-3.302056738262203,-3.6940480844543613,-2.9100653920700443
A11,b3,4.954288037016377,4.223396054279874,5.685180019752879
A11,b4,-7.095719480975993,-7.947395671016261,-6.244043290935725
A12,a,0.7420168936125079,0.6748225350314324,0.8092112521935834
A12,b1,0.7985412516327663,0.5275919304010288,1.0694905728645039
A12,b2,0.446794099625617,0.13106312425319178,0.7625250749980422
A12,b3,-3.9638527045002885,-4.410750766609651,-3.5169546423909264
A13,a,0.7151319969920188,0.6521281441234373,0.7781358498606002
A13,b1,-0.26628487622465186,-0.4436899526213506,-0.08887979982795313
A13,b2,2.7006158863706062,2.2537192921472813,3.147512480593931
A13,b3,-4.737127495048536,-5.295980204431509,-4.178274785665562
A14,a,0.7109339967827247,0.6513776663473375,0.770490327218112
A14,b1,1.445646447708931,1.1609597924786716,1.7303331029391904
A14,b2,-2.6343051311496604,-2.929798710594854,-2.3388115517044668
A14,b3,6.32607151779183,5.396473639301843,7.255669396281816
A14,b4,-2.5130190529067162,-3.3605011838926995,-1.665536921920733
A14,b5,-2.846313062236991,-3.2636147501602415,-2.4290113743137405
A15,a,0.39820592783029973,0.36150621112385717,0.4349056445367423
A15,b1,5.000379327723093,4.238560531109974,5.762198124336211
A15,b2,-3.6377919051000998,-4.287617059708996,-2.9879667504912035
A15,b3,1.8927989217116676,1.39699739459799,2.388600448825345
A15,b4,-6.0001037709040475,-6.707781408496401,-5.292426133311694
A16,a,2.891853695196962,2.5887079593383246,3.1949994310555994
A16,b1,-1.0996616271132795,-1.1755298752670622,-1.0237933789594968
A17,a,3.0427698080726175,2.710791446601706,3.3747481695435293
A17,b1,-1.2310413932011008,-1.3119000926907238,-1.1501826937114779
A18,a,1.5418249150745131,1.3994145215783755,1.6842353085706507
A18,b1,-0.5795489593251472,-0.6530460037546836,-0.5060519148956107
A19,a,1.7652981316630725,1.6048104901267737,1.9257857731993713
A19,b1,0.14822119476876108,0.09151154130677797,0.2049308482307442
A20,a,2.1782759935867126,1.9761552356909846,2.3803967514824405
A20,b1,0.4264382712228265,0.37140491561911476,0.48147162682653827
