Question,pre,post,description,notes,outcome,a_est,b_est,a_CI_2.5,b_CI_2.5,a_CI_97.5,b_CI_97.5
z1_Z1,z1,Z1,linear function,NA,unchanged,1.2608790378425203,-2.9174508009768862,1.1379549259425197,-3.127791805591441,1.383803149742521,-2.7071097963623316
z2_Z0,z2,NA,3D,NA,removed,0.5536636280615905,1.6909860512135553,0.4694645870857951,1.425704660981333,0.637862669037386,1.9562674414457775
z3_Z2,z3,Z2,arithmetic rules,NA,unchanged,1.2945050175864985,-0.6424149181494159,1.2250247518668567,-0.6896012171523822,1.3639852833061403,-0.5952286191464495
z4_Z3,z4,Z3,Easy ineq.,NA,unchanged,1.149868828280886,-0.5680342571280985,1.085914857345332,-0.617531355554323,1.2138227992164399,-0.518537158701874
z5_Z4,z5,Z4,logs,NA,unchanged,1.4257184208452225,0.050805193108290264,1.3541684723471745,0.01222811356702163,1.4972683693432705,0.08938227264955889
z6_Z5,z6,Z5,logs,NA,unchanged,1.5147965435079644,-0.967024496996416,1.432929688911677,-1.0172401511879383,1.596663398104252,-0.9168088428048937
z7_Z6,z7,Z6,graph translation,NA,unchanged,1.3700370060289313,-0.8166462465134131,1.296156738709032,-0.866018805636121,1.4439172733488306,-0.7672736873907052
z8_Z7,z8,Z7,sine pi/3,NA,unchanged,1.175931892647149,-0.17596228581334306,1.1126012150043263,-0.21968912801165053,1.2392625702899716,-0.13223544361503559
z9_Z8,z9,Z8,trig.ineq.,NA,unchanged,1.983114058058851,0.17172475733510856,1.8886493380504243,0.13856768474657508,2.077578778067278,0.20488182992364204
z10_Z9,z10,Z9,trig.identity,NA,unchanged,1.7433688624584642,-0.1557758625788487,1.6593364835003364,-0.1907406779613248,1.827401241416592,-0.12081104719637262
z11_Z10,z11,Z10,period,NA,unchanged,1.6077267872437289,-0.29875814328487516,1.5285667860212184,-0.33597045189544456,1.6868867884662393,-0.26154583467430575
z12_Z0,z12,NA,rational exponents,adjusted to B11,removed,0.8762915191814167,-1.10696683658731,0.7811581225708502,-1.2359342656446857,0.9714249157919832,-0.9779994075299343
z13_Z0,z13,NA,ellipsoid,NA,removed,0.7088232103764717,0.8637281818493411,0.6233815067128124,0.7279902797991407,0.7942649140401309,0.9994660838995415
z14_Z12,z14,Z12,limit,NA,unchanged,1.4742559125076948,-0.2267987851129755,1.4005347860664163,-0.2652782181801739,1.5479770389489733,-0.1883193520457771
z15_Z13,z15,Z13,series,NA,unchanged,0.8292124124082756,0.21391751155029237,0.775826678803753,0.15740787857959287,0.8825981460127982,0.27042714452099187
z16_Z14,z16,Z14,diff.quotient,NA,unchanged,1.405625863647165,1.341196630855334,1.3235070991838818,1.275597082210659,1.4877446281104483,1.406796179500009
z17_Z15,z17,Z15,graph f',NA,unchanged,1.2156209930650392,-0.3875347258500706,1.1503666338741863,-0.4323336223447259,1.2808753522558922,-0.3427358293554153
z18_Z16,z18,Z16,product rule,NA,unchanged,1.0825860539448098,0.9110305170231937,1.0190246317156106,0.8499291570825238,1.146147476174009,0.9721318769638636
z19_Z0,z19,NA,quotient rule,NA,removed,1.2709500328877261,0.6519143749546698,1.1587409583929023,0.5760610566061012,1.38315910738255,0.7277676933032383
z20_Z17,z20,Z17,(exp)',NA,unchanged,2.175689350696116,-0.7457182042781982,2.0641833065299178,-0.7829710269768132,2.287195394862314,-0.7084653815795833
z21_Z18,z21,Z18,(ln(sin))',NA,unchanged,2.098006878408276,-0.06684304160347901,1.998436042770726,-0.09888883361208117,2.1975777140458264,-0.03479724959487685
z22_Z19,z22,Z19,hyp.functions,NA,unchanged,1.9933525105867151,-0.046978627858783706,1.8987355435344186,-0.07968675631046544,2.0879694776390116,-0.01427049940710197
z23_Z20,z23,Z20,slope tangent,NA,unchanged,1.9408822806828578,0.2618639735991366,1.8478739865686022,0.22794056429109022,2.0338905747971134,0.295787382907183
z24_Z21,z24,Z21,IVT,NA,unchanged,1.4143241098027857,-0.30969682693705325,1.3424236584545532,-0.34972227703619047,1.486224561151018,-0.26967137683791603
z25_Z0,z25,NA,velocity,NA,removed,0.5274075449290123,-1.1443341172430004,0.4478164531440912,-1.349838242545337,0.6069986367139335,-0.9388299919406637
