Question,par,est,CI_2.5,CI_97.5
A1_B1,a,0.5903875604861734,0.5406238890431666,0.6401512319291801
A1_B1,b1,-0.8762877569289076,-1.063644199465328,-0.6889313143924871
A1_B1,b2,-4.0789206601332575,-4.4280285652266445,-3.729812755039871
A2_B0,a,0.3986462186845253,0.31873324915988877,0.4785591882091619
A2_B0,b1,1.7718550528519332,1.028335461119482,2.5153746445843845
A2_B0,b2,-8.019743198517197,-9.636360067549388,-6.403126329485007
A3_B2,a,1.3212248792548809,1.2384910135360387,1.403958744973723
A3_B2,b1,-0.9534731102929396,-1.0128220933167988,-0.8941241272690803
A4_B3,a,0.2309112205792019,0.21727891159619286,0.24454352956221095
A4_B3,b1,17.93454386507313,13.263170072624892,22.60591765752137
A4_B3,b2,-20.085548942097066,-24.741549767520368,-15.429548116673764
A4_B3,b3,2.3054676827581493,1.3658497428694756,3.245085622646823
A4_B3,b4,4.4669956761619805,2.830610158046171,6.10338119427779
A4_B3,b5,-11.709050275162316,-13.30473477504254,-10.113365775282091
A4_B3,b6,0.7089300564243235,0.08495151539585188,1.332908597452795
A4_B3,b7,-3.7663865321035184,-4.362185269627427,-3.1705877945796095
A4_B3,b8,4.999785449168585,4.247213334802742,5.752357563534428
A4_B3,b9,-2.361220113389315,-3.126360281543036,-1.5960799452355943
A4_B3,b10,-3.493662360629197,-4.087926989648213,-2.8993977316101818
A4_B3,b11,8.825410085471507,7.780800831665808,9.870019339277206
A4_B3,b12,-16.74203062829185,-18.0702840937036,-15.413777162880102
A5_B4,a,1.1972741668028546,1.112176368881422,1.2823719647242873
A5_B4,b1,-1.617265165998204,-1.7126234716383895,-1.5219068603580186
A6_B5,a,0.4232197168150868,0.394041095773884,0.4523983378562896
A6_B5,b1,0.4384588824296276,0.3120610521952698,0.5648567126639854
A6_B5,b2,9.751694582212957,8.832649594037399,10.670739570388516
A6_B5,b3,-7.837752617529915,-8.724318174314485,-6.9511870607453465
A7_B6,a,0.7799880957097832,0.7318647965917724,0.8281113948277941
A7_B6,b1,1.4296501366053636,1.2291044496737242,1.6301958235370029
A7_B6,b2,-3.5713558422619016,-3.825887247675515,-3.316824436848288
A8_B0,a,0.5546119454344847,0.4573199262445814,0.6519039646243879
A8_B0,b1,-1.271551371865443,-1.4987377111098843,-1.0443650326210017
A9_B8,a,1.5223571994542946,1.4129475541147025,1.6317668447938867
A9_B8,b1,-1.7638733315825732,-1.8552959705913994,-1.672450692573747
A10_B9,a,0.757638288122589,0.7104560789823683,0.8048204972628098
A10_B9,b1,-0.9151491142213821,-1.0120809272797822,-0.8182173011629821
A10_B9,b2,-1.3375610520630126,-1.450694329464252,-1.224427774661773
A11_B0,a,0.3095228285934717,0.26415614584259633,0.35488951134434704
A11_B0,b1,-1.8229800413391297,-2.661485541478045,-0.9844745412002145
A11_B0,b2,-5.607328167694902,-6.5201988031838916,-4.694457532205913
A11_B0,b3,8.802918224340182,7.094801844490159,10.511034604190204
