Question,par,est,CI_2.5,CI_97.5
A1,a,0.6723083904550798,0.5751014820149105,0.7695152988952492
A1,b1,-2.3812110076381847,-2.709975679762886,-2.0524463355134834
A1,b2,-2.7754848307593454,-3.1647837035089506,-2.38618595800974
A2,a,0.36532547052175995,0.29248214207909906,0.43816879896442085
A2,b1,2.0591070908424283,1.249031482676028,2.8691826990088285
A2,b2,-8.640967366370463,-10.398372935948611,-6.883561796792313
A3,a,1.0846154438636098,0.9651997846745097,1.2040311030527098
A3,b1,-0.8450754419292453,-0.9487595876398697,-0.741391296218621
A4,a,0.2732681216866645,0.24581364429158745,0.3007225990817415
A4,b1,11.771290708187337,7.317790142650731,16.224791273723945
A4,b2,-14.470475467750855,-18.905380677966065,-10.035570257535646
A4,b3,3.212889289544506,1.766456223435887,4.659322355653124
A4,b4,-7.390187498485251,-8.824615288045003,-5.9557597089255
A4,b5,2.206748607826925,1.2829734919816693,3.1305237236721806
A4,b6,-4.924795305539537,-5.845483051006427,-4.004107560072647
A4,b7,1.5638434590832428,0.8942526706275904,2.233434247538895
A4,b8,-3.603515326825214,-4.288310562673585,-2.918720090976843
A4,b9,6.280060758566588,5.279588175449669,7.2805333416835065
A4,b10,-9.547121210776067,-10.800630193555435,-8.2936122279967
A5,a,1.0428722229925618,0.9018365053804278,1.1839079406046957
A5,b1,-1.9104022943550765,-2.1219748432308623,-1.6988297454792904
A6,a,0.42398862229005735,0.37586319942038326,0.47211404515973143
A6,b1,0.7568859673223445,0.5315188597559387,0.9822530748887502
A6,b2,9.256020346707444,7.831954651591039,10.680086041823849
A6,b3,-7.513302478023814,-8.900694213803842,-6.125910742243786
A7,a,0.6605958913711477,0.5890771721644897,0.7321146105778057
A7,b1,1.7214495995152388,1.345257500639569,2.0976416983909085
A7,b2,-3.9406090086359695,-4.42627717699128,-3.454940840280659
A8,a,0.5205972251498884,0.43003100602444244,0.6111634442753343
A8,b1,-1.2495410987929418,-1.4921612410269793,-1.0069209565589043
A9,a,1.2705396403428917,1.0926784386237791,1.4484008420620043
A9,b1,-2.0913375795662237,-2.307480293671888,-1.8751948654605592
A10,a,0.6358121813644662,0.5659312210509396,0.7056931416779927
A10,b1,-0.8316892686213114,-1.00206106921382,-0.6613174680288026
A10,b2,-1.09426102756218,-1.2853998552158867,-0.9031221999084733
A11,a,0.28643607584777775,0.24463931802517144,0.32823283367038403
A11,b1,-1.8314504874217508,-2.7345600229065656,-0.9283409519369359
A11,b2,-5.95004777245021,-6.934687673109788,-4.9654078717906325
A11,b3,9.62738675620642,7.787164294626844,11.467609217785995
A11,b4,-14.065887861617885,-16.400492935785767,-11.731282787450002
A12,a,0.446007073333852,0.3929810143652815,0.49903313230242247
A12,b1,0.928220503535795,0.47481363817999916,1.3816273688915908
A12,b2,0.8311316560603702,0.29046534647327094,1.3717979656474695
A12,b3,-6.829611573227041,-7.740349973168966,-5.918873173285116
A13,a,0.4488647379447279,0.3992331012307952,0.49849637465866065
A13,b1,-0.922531722590424,-1.2126239260918599,-0.6324395190889882
A13,b2,4.460102120224947,3.6490871547829067,5.2711170856669884
A13,b3,-7.96232049592073,-9.022883322296,-6.901757669545462
A14,a,0.5046729581244268,0.4581540775673401,0.5511918386815136
A14,b1,1.6038078824425905,1.2085550054689391,1.999060759416242
A14,b2,-3.7946161757093426,-4.223638285634977,-3.3655940657837076
A14,b3,8.765627934082547,7.4018306193931735,10.12942524877192
A14,b4,-3.78536182641393,-4.9998963143764055,-2.5708273384514553
A14,b5,-4.345385453299839,-4.969471519453363,-3.7212993871463143
A15,a,0.23083688316098905,0.20037313068392676,0.26130063563805134
A15,b1,8.367989848522079,6.792513298732363,9.943466398311795
A15,b2,-6.601057212435912,-7.922550093858332,-5.279564331013493
A15,b3,3.122978570815543,2.210832328981549,4.035124812649537
A15,b4,-10.658715328243519,-12.248942278719385,-9.068488377767652
A16,a,1.7603387437575795,1.5175206865790762,2.0031568009360825
A16,b1,-1.8776740559792064,-2.036477872826715,-1.7188702391316981
A17,a,1.651810767605864,1.3915810597943221,1.9120404754174058
A17,b1,-2.2257393175878564,-2.4461106120693334,-2.0053680231063793
A18,a,0.9974632405824316,0.8799067505311896,1.1150197306336738
A18,b1,-1.1296765307310879,-1.2605595395997353,-0.9987935218624405
A19,a,1.3729577482139783,1.2395683289753014,1.5063471674526552
A19,b1,-0.018955123711884635,-0.08738595030271311,0.04947570287894383
A20,a,1.8097972458888958,1.6347040317530601,1.9848904600247315
A20,b1,0.33470754890858156,0.27212471678149397,0.39729038103566916
